Entry Time,Entry Price,Exit Time,Exit Price,Strategy,PnL,Status
2025-06-02 21:37:00,104745.93,2025-06-02 22:11:00,105129.88,MACD-EMA,383.95000000001164,Win
2025-06-02 22:14:00,105228.43,2025-06-02 22:33:00,105677.1,MACD-EMA,448.6700000000128,Win
2025-06-02 22:52:00,105684.74,2025-06-02 22:56:00,105659.68,MACD-EMA,-25.060000000012224,Loss
2025-06-02 23:02:00,105772.41,2025-06-02 23:05:00,105666.48,MACD-EMA,-105.93000000000757,Loss
2025-06-02 23:20:00,105847.39,2025-06-02 23:27:00,105786.42,MACD-EMA,-60.970000000001164,Loss
2025-06-02 23:44:00,105905.66,2025-06-02 23:53:00,105879.35,MACD-EMA,-26.30999999999767,Loss
2025-06-03 00:09:00,105875.05,2025-06-03 00:27:00,106122.02,MACD-EMA,246.97000000000116,Win
2025-06-03 00:46:00,106316.65,2025-06-03 00:52:00,106248.17,MACD-EMA,-68.47999999999593,Loss
2025-06-03 01:02:00,106311.44,2025-06-03 01:11:00,106202.68,MACD-EMA,-108.76000000000931,Loss
2025-06-03 01:21:00,106275.93,2025-06-03 01:32:00,106242.3,MACD-EMA,-33.629999999990105,Loss
2025-06-03 01:47:00,106289.37,2025-06-03 02:06:00,106313.91,MACD-EMA,24.54000000000815,Win
2025-06-03 02:31:00,106047.64,2025-06-03 02:45:00,105933.33,MACD-EMA,-114.30999999999767,Loss
2025-06-03 02:58:00,105698.2,2025-06-03 03:07:00,105473.1,MACD-EMA,-225.09999999999127,Loss
2025-06-03 03:15:00,105591.5,2025-06-03 03:29:00,105474.42,MACD-EMA,-117.08000000000175,Loss
2025-06-03 03:37:00,105510.77,2025-06-03 03:54:00,105501.13,MACD-EMA,-9.639999999999418,Loss
2025-06-03 04:20:00,105349.66,2025-06-03 04:31:00,105209.98,MACD-EMA,-139.68000000000757,Loss
2025-06-03 04:39:00,105240.11,2025-06-03 04:49:00,105154.95,MACD-EMA,-85.16000000000349,Loss
2025-06-03 04:59:00,105166.92,2025-06-03 05:19:00,105301.61,MACD-EMA,134.69000000000233,Win
2025-06-03 05:35:00,105330.29,2025-06-03 05:45:00,105274.35,MACD-EMA,-55.939999999987776,Loss
2025-06-03 05:52:00,105369.72,2025-06-03 06:05:00,105422.23,MACD-EMA,52.50999999999476,Win
2025-06-03 06:38:00,105245.53,2025-06-03 07:10:00,105394.15,MACD-EMA,148.61999999999534,Win
2025-06-03 07:33:00,105251.68,2025-06-03 07:50:00,105196.18,MACD-EMA,-55.5,Loss
2025-06-03 07:55:00,105217.79,2025-06-03 07:57:00,105187.87,MACD-EMA,-29.919999999998254,Loss
2025-06-03 08:01:00,105199.89,2025-06-03 08:10:00,105088.8,MACD-EMA,-111.08999999999651,Loss
2025-06-03 08:26:00,104952.39,2025-06-03 09:14:00,105151.09,MACD-EMA,198.6999999999971,Win
2025-06-03 09:34:00,105190.48,2025-06-03 09:48:00,105238.65,MACD-EMA,48.169999999998254,Win
2025-06-03 10:08:00,105245.52,2025-06-03 10:23:00,105266.62,MACD-EMA,21.09999999999127,Win
2025-06-03 10:32:00,105317.41,2025-06-03 10:43:00,105303.26,MACD-EMA,-14.150000000008731,Loss
2025-06-03 11:00:00,105304.33,2025-06-03 11:15:00,105306.69,MACD-EMA,2.360000000000582,Win
2025-06-03 11:34:00,105233.17,2025-06-03 12:06:00,105232.65,MACD-EMA,-0.5200000000040745,Loss
2025-06-03 12:13:00,105292.45,2025-06-03 12:22:00,105305.64,MACD-EMA,13.190000000002328,Win
2025-06-03 12:25:00,105384.59,2025-06-03 12:29:00,105363.96,MACD-EMA,-20.629999999990105,Loss
2025-06-03 12:42:00,105353.32,2025-06-03 12:44:00,105273.21,MACD-EMA,-80.11000000000058,Loss
2025-06-03 12:52:00,105326.37,2025-06-03 12:53:00,105300.0,MACD-EMA,-26.369999999995343,Loss
2025-06-03 13:00:00,105316.88,2025-06-03 13:14:00,105386.77,MACD-EMA,69.88999999999942,Win
2025-06-03 13:15:00,105443.57,2025-06-03 13:19:00,105400.0,MACD-EMA,-43.570000000006985,Loss
2025-06-03 13:25:00,105452.06,2025-06-03 13:29:00,105433.22,MACD-EMA,-18.839999999996508,Loss
